MATERIAL	DESC_MAT	QTDE	X	Y	Z
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	1,00	A	027	2
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	4,00	A	028	2
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	1,00	K	003	3
114354	PLC MOD ANALOG OUTPUT; 8 VOLTAGE/CURRENT OUTPUTS	3,00	K	022	2
114355	PLC MOD COUNTER; 2 HIGH SPEED COUNTERS PLC MOD COU	1,00	A	028	2
114358	114358-MODULO CONTROLADOR LOGICO PROGRAMAVEL DO DI	1,00	A	027	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	027	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	027	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	028	2
114367	DISJUNTOR CB 6A 1 P 480V, REF. LORAM 114367, PARA	2,00	A	028	2
114465	CONTACTOR 30.0 HP IEC; 120 VAC COIL NO CONTACTS CO	2,00	A	027	2
114465	CONTACTOR 30.0 HP IEC; 120 VAC COIL NO CONTACTS CO	2,00	A	028	2
114477	PLC IFM 25P ANLG; THRU PLC IFM 25P ANLG; THRU PLC	1,00	A	027	2
114489	MODULO PLC IFM 20P DIGITAL, FEED-THRU UTILIZADO NO	1,00	A	027	2
114490	PLC IFM 40P DIG; FUSED ISO PLC IFM 40P DIG; FUSED	1,00	A	027	2
114722-0026.00	114722-0026.00-MANGUEIRA DE BORRACHA COM CONEXOES	3,00	A	028	2
114722-0031.00	114722-0031.00-MANGUEIRA DE BORRACHA COM CONEXOES	3,00	A	029	4
114722-0042.00	114722-0042.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	A	029	4
114722-0106.00	114722-0106.00-MANGUEIRA DE BORRACHA COM CONEXOES	2,00	A	029	4
114724-0041.00	114724-0041.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	I	010	3
114724-0126.00	114724-0126.00-MANGUEIRA DE BORRACHA MONTADA 06 08	3,00	I	010	3
114726-0024.00	114726-0024.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	I	010	3
114726-0030.00	114726-0030.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	I	010	3
114793	114793-ALCA DO EIXO DA CHAVE SECCIONADORA DE MAQUI	1,00	A	028	2
115024	115024-FONTE DE ALIMENTACAO RETIFICADOR COM TENSAO	1,00	A	027	2
115263-0015.50	CONJUNTO DE TUBO 1,50 X .12 SS ORFS; 2267 MOP RESP	2,00	0	0	0
115379	DISJUNTOR CB 40A 1 P 480V, REF. LORAM 115379, PARA	2,00	A	027	2
115379	DISJUNTOR CB 40A 1 P 480V, REF. LORAM 115379, PARA	6,00	A	028	2
115379	DISJUNTOR CB 40A 1 P 480V, REF. LORAM 115379, PARA	6,00	I	018	1
115380	DISJUNTOR CB 20A 1 P 480V, REF. LORAM 115380, PARA	2,00	A	028	2
115380	DISJUNTOR CB 20A 1 P 480V, REF. LORAM 115380, PARA	2,00	A	028	2
115380	DISJUNTOR CB 20A 1 P 480V, REF. LORAM 115380, PARA	2,00	I	018	1
115407	DISJUNTOR CB 3A 1 P 480V, REF. LORAM 115407, PARA	2,00	A	028	2
115415	115415 - FONTE DE ALIMENTACAO 24VDC 10A, ENTRADA 1	1,00	A	027	2
115415	115415 - FONTE DE ALIMENTACAO 24VDC 10A, ENTRADA 1	1,00	A	027	2
115415	115415 - FONTE DE ALIMENTACAO 24VDC 10A, ENTRADA 1	1,00	A	028	2
115415	115415 - FONTE DE ALIMENTACAO 24VDC 10A, ENTRADA 1	1,00	A	028	2
115416	115416-VENTILADOR DO REFRIGERADOR , MODELO 100CFM	1,00	A	028	2
115430	115430-FONTE DE ALIMENTACAO 15VDC 2A, MONTAGEM EM	1,00	A	028	2
115912	115912-BRACADEIRA DE ACO PARA FIXACAO USADO EM MAQ	1,00	A	028	2
116121	ENCODER OPTICAL 2000 CT; BLIND SHAFT MOUNT	1,00	J	021	1
116399	DISJUNTOR CB 63A 1 P 480V, REF. LORAM 116399, PARA	2,00	A	028	2
116399	DISJUNTOR CB 63A 1 P 480V, REF. LORAM 116399, PARA	2,00	A	028	2
116399	DISJUNTOR CB 63A 1 P 480V, REF. LORAM 116399, PARA	2,00	I	018	1
116619	116619-VALVULA SOLENOIDE DE 4 VIAS COM 125PSI PARA	1,00	A	027	2
116798	116798-TRANSFORMADOR MODELO 10KVA, 240X480-120/240	1,00	I	025	4
116863	116863-INTERRUPTOR PARA USO NO SETOR FERROVIARIO 1	1,00	A	028	2
117076	CONNECTOR BNC PLUG; CONTROLNET CABLE CONECTOR COAX	2,00	K	020	1
117157-0018.00	117157-0018.00-MANGUEIRA DE BORRACHA COM ACESSORIO	2,00	A	028	2
117420	DISJUNTOR 13A 1P 480V, REF. LORAM 117420 PROTETOR	2,00	A	028	2
117420	DISJUNTOR 13A 1P 480V, REF. LORAM 117420 PROTETOR	2,00	A	028	2
117420	DISJUNTOR 13A 1P 480V, REF. LORAM 117420 PROTETOR	2,00	I	018	1
117598-0011.00	CONJUNTO DE MANGUEIRA 06 06FORFS RETA 5300P; 06 FO	4,00	0	0	0
118244	CIRCUITO ELETRICO DE PROTECAO SOBVOLTAGEM 120 VAC,	1,00	A	028	2
118244	CIRCUITO ELETRICO DE PROTECAO SOBVOLTAGEM 120 VAC,	1,00	J	021	1
118547	118547-CONJUNTO DA VALVULA DE CONTROLE DIRECIONAL	1,00	A	028	2
118857-0038.00	CONJUNTO DE MANGUEIRA 08 06FORFS RETA 4500P; 08FOR	1,00	0	0	0
118857-0048.00	CONJUNTO DE MANGUEIRA 08 06FORFS RETA 4500P; 08FOR	1,00	0	0	0
118863	118863-VALVULA DE ALIVIO PARA MAQUINA FERROVIARIA	1,00	A	028	2
119058	RELAY 3-NO, 1-NC 24VDC; POSITIVE-GUIDED CONTACTS R	1,00	A	027	2
119058	RELAY 3-NO, 1-NC 24VDC; POSITIVE-GUIDED CONTACTS R	3,00	A	027	2
119058	RELAY 3-NO, 1-NC 24VDC; POSITIVE-GUIDED CONTACTS R	3,00	A	027	2
119061	RELAY SAFETY 24VDC; 3-NO, 1-NC, 1 MON LOOP RELE DE	2,00	A	027	2
119061	RELAY SAFETY 24VDC; 3-NO, 1-NC, 1 MON LOOP RELE DE	2,00	A	027	2
119061	RELAY SAFETY 24VDC; 3-NO, 1-NC, 1 MON LOOP RELE DE	3,00	A	027	2
119061	RELAY SAFETY 24VDC; 3-NO, 1-NC, 1 MON LOOP RELE DE	3,00	A	027	2
